adv_id,Captação,Tipo de Captação,Data
Assessor_10,"670500,00",TED,2020-02-27 00:00:00
Assessor_3,"668691,60",ST,2020-04-29 00:00:00
Assessor_25,"656516,01",TED,2020-10-05 00:00:00
Assessor_23,"653880,00",TED,2020-10-07 00:00:00
Assessor_23,"650660,00",TED,2020-10-27 00:00:00
Assessor_48,"640552,50",ST,2020-02-12 00:00:00
Assessor_31,"633552,41",ST,2020-01-07 00:00:00
Assessor_46,"629852,48",TED,2020-08-26 00:00:00
Assessor_27,"628047,85",TED,2020-08-21 00:00:00
Assessor_21,"616406,86",PREV,2020-03-04 00:00:00
Assessor_48,"614826,55",RF,2020-02-18 00:00:00
Assessor_22,"610467,20",TED,2020-03-10 00:00:00
Assessor_22,"609446,43",PREV INTERNA,2020-06-12 00:00:00
Assessor_26,"608524,40",ST,2020-06-16 00:00:00
Assessor_19,"607400,00",TED,2020-08-21 00:00:00
Assessor_16,"606732,09",ST,2020-10-14 00:00:00
Assessor_19,"604000,00",TED,2020-01-28 00:00:00
Assessor_4,"600000,00",PREV,2020-06-29 00:00:00
Assessor_42,"600000,00",CEX,2020-08-31 00:00:00
Assessor_35,"598580,00",TED,2020-09-22 00:00:00
Assessor_35,"598500,00",TED,2020-06-01 00:00:00
Assessor_43,"598189,15",TED,2020-05-05 00:00:00
Assessor_23,"597965,83",ST,2020-09-23 00:00:00
Assessor_3,"597678,30",PREV,2020-06-10 00:00:00
Assessor_5,"597449,05",ST,2020-06-09 00:00:00
Assessor_52,"596525,86",TED,2020-07-06 00:00:00
Assessor_16,"591069,34",ST,2020-09-25 00:00:00
Assessor_10,"586380,00",TED,2020-10-28 00:00:00
Assessor_42,"584428,93",TED,2020-06-10 00:00:00
Assessor_48,"577177,51",TED,2020-09-03 00:00:00
Assessor_43,"571032,74",ST,2019-10-24 00:00:00
Assessor_42,"563077,60",TED,2020-10-01 00:00:00
Assessor_35,"561081,50",ST,2020-09-11 00:00:00
Assessor_42,"554811,17",TED,2020-08-14 00:00:00
Assessor_43,"554000,00",TED,2020-06-03 00:00:00
Assessor_42,"553100,72",TED,2020-09-09 00:00:00
Assessor_42,"552855,44",TD,2020-03-30 00:00:00
Assessor_43,"552735,84",TED,2020-06-09 00:00:00
Assessor_35,"552000,00",TED,2020-04-14 00:00:00
Assessor_15,"551353,51",TED,2020-09-08 00:00:00
Assessor_14,"551236,82",TED,2020-03-24 00:00:00
Assessor_35,"550000,00",TED,2020-10-27 00:00:00
Assessor_35,"549994,69",TED,2020-08-11 00:00:00
Assessor_35,"545670,00",TED,2020-04-24 00:00:00
Assessor_21,"543650,00",TED,2020-07-24 00:00:00
Assessor_23,"543274,80",ST,2020-10-15 00:00:00
Assessor_26,"542496,87",RF,2020-06-10 00:00:00
Assessor_22,"539396,66",TED,2020-03-09 00:00:00
Assessor_21,"538968,19",TED,2020-06-08 00:00:00
Assessor_10,"536038,00",TED,2020-09-22 00:00:00
Assessor_31,"534943,40",PREV INTERNA,2020-01-02 00:00:00
Assessor_48,"534266,30",TED,2020-10-28 00:00:00
Assessor_41,"533054,85",ST,2020-01-27 00:00:00
Assessor_27,"529921,25",TED,2020-03-16 00:00:00
Assessor_4,"528510,35",TED,2020-02-20 00:00:00
